POISSON BOLTZMANN:
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
96,571.537,1404.1329,-1071.0544,0.0,0.0,0.0,-1278.7047,-16252.0236,603.654,11805.0407,-1876.8903,1234.4324,-739.7155,-4217.418099999999,-1382.1734000000001,-5599.5914999999995
97,494.7745,1409.2877,-1079.011,0.0,0.0,0.0,-1250.4696,-16206.5232,619.0035,11808.0184,-1903.9679,1244.5014,-757.399,-4204.919699999997,-1416.8654999999999,-5621.785199999997
98,473.1745,1432.7797,-1092.069,0.0,0.0,0.0,-1258.403,-16003.4254,603.5272,11755.1917,-2020.7241,1244.3218,-755.2666,-4089.2243000000017,-1531.6689000000001,-5620.893200000001
99,496.6982,1490.3134,-1095.8839,0.0,0.0,0.0,-1286.9908,-16041.3412,593.8086,11761.6255,-2015.384,1234.3001,-746.2647,-4081.770200000001,-1527.3486,-5609.1188
100,516.2431,1458.8806,-1092.3266,0.0,0.0,0.0,-1244.2581,-16150.3902,600.215,11777.8768,-1951.5565,1249.2453,-770.0704,-4133.759400000001,-1472.3815999999997,-5606.1410000000005
101,510.4598,1405.4235,-1101.4056,0.0,0.0,0.0,-1228.8369,-16294.8301,603.3915,11844.5659,-1899.2679,1241.2033,-766.4576,-4261.231899999999,-1424.5222,-5685.754099999998
102,505.5923,1431.0063,-1088.2788,0.0,0.0,0.0,-1240.7348,-16200.5247,593.8733,11793.1254,-1937.6211,1243.9249,-769.8561,-4205.940999999999,-1463.5523,-5669.493299999999
103,490.5652,1416.1804,-1120.3524,0.0,0.0,0.0,-1265.6422,-16152.0683,610.4302,11784.3133,-1962.4755,1246.4717,-768.1502,-4236.573800000002,-1484.154,-5720.727800000002
104,514.7797,1373.2451,-1085.9224,0.0,0.0,0.0,-1277.4955,-16139.0905,628.3978,11863.4945,-2012.5405,1237.0359,-750.5114,-4122.591299999998,-1526.016,-5648.607299999999
105,508.6431,1410.2668,-1075.5671,0.0,0.0,0.0,-1276.0439,-15946.3235,615.7922,11845.7928,-2156.4444,1246.9773,-754.7661,-3917.4396000000015,-1664.2332,-5581.672800000001
106,471.3211,1404.1516,-1089.393,0.0,0.0,0.0,-1254.6391,-16132.148,601.1436,11811.9786,-1993.9679,1243.4288,-758.3151,-4187.5851999999995,-1508.8542000000002,-5696.439399999999
107,532.382,1410.8417,-1087.5258,0.0,0.0,0.0,-1272.1896,-16072.4802,614.7218,11788.3537,-2011.0121,1232.5519,-748.6986,-4085.8964000000014,-1527.1588000000002,-5613.055200000001
108,501.0554,1419.582,-1109.0866,0.0,0.0,0.0,-1242.041,-16103.113,612.7711,11778.7415,-1987.9295,1234.9191,-750.8216,-4142.090599999998,-1503.8319999999999,-5645.922599999998
109,514.9328,1449.6952,-1127.2773,0.0,0.0,0.0,-1236.902,-16153.0963,606.7487,11756.3999,-1931.4466,1236.9886,-749.6461,-4189.499,-1444.1041,-5633.6031
110,483.1593,1437.8955,-1082.9437,0.0,0.0,0.0,-1309.3505,-15973.5704,618.9534,11820.2687,-2113.7309,1244.9503,-755.0564,-4005.587699999998,-1623.837,-5629.424699999999
111,501.1621,1483.6284,-1096.6263,0.0,0.0,0.0,-1267.9056,-16039.9905,601.3722,11744.5756,-2003.6989,1238.5054,-753.6384,-4073.784099999999,-1518.8319000000001,-5592.615999999999
